,Symbol,Name1,Sector
0,MMM,3M,Industrials
2,ABT,Abbott,Health Care
3,ABBV,AbbVie,Health Care
4,ACN,Accenture,Information Technology
5,ATVI,Activision,Information Technology
6,AYI,Acuity,Industrials
7,ADBE,Adobe,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AMD,AMD,Information Technology
10,AES,AES,Utilities
11,AET,Aetna,Health Care
12,AMG,Affiliated Managers,Financials
13,AFL,AFLAC ,Financials
14,A,Agilent ,Health Care
15,APD,Air Products,Materials
16,AKAM,Akamai,Information Technology
17,ALK,Alaska Air,Industrials
18,ALB,Albemarle,Materials
19,ARE,Alexandria ,Real Estate
20,ALXN,Alexion,Health Care
21,ALGN,Align ,Health Care
22,ALLE,Allegion,Industrials
23,AGN,Allergan,Health Care
24,ADS,Alliance Data Systems,Information Technology
25,LNT,Alliant Energy,Utilities
26,ALL,Allstate,Financials
28,GOOG,Alphabet,Information Technology
28,GOOG,Google,Information Technology
29,MO,Altria,Consumer Staples
30,AMZN,Amazon,Consumer Discretionary
31,AEE,Ameren,Utilities
32,AAL,American Airlines,Industrials
33,AEP,American Electric Powe,Utilities
34,AXP,American Express,Financials
35,AIG,American International,Financials
36,AMT,American Tower,Real Estate
37,AWK,American Water Works,Utilities
38,AMP,Ameriprise,Financials
39,ABC,AmerisourceBergen,Health Care
40,AME,AMETEK,Industrials
41,AMGN,Amgen,Health Care
42,APH,Amphenol,Information Technology
43,APC,Anadarko Petroleum,Energy
44,ADI,Analog Devices,Information Technology
45,ANDV,Andeavo,Energy
46,ANSS,ANSYS,Information Technology
47,ANTM,Anthem,Health Care
48,AON,Aon,Financials
49,APA,Apache oration,Energy
50,AIV,Apartment Investment,Real Estate
51,AAPL,Apple,Information Technology
52,AMAT,Applied Materials,Information Technology
53,APTV,Aptiv,Consumer Discretionary
54,ADM,Archer Daniels,Consumer Staples
55,ARNC,Arconic,Industrials
57,AIZ,Assurant,Financials
58,T,AT&T,Telecommunication Services
59,ADSK,Autodesk,Information Technology
60,ADP,Automatic Data,Information Technology
61,AZO,AutoZone,Consumer Discretionary
62,AVB,AvalonBay,Real Estate
63,AVY,Avery Dennison,Materials
64,BHGE,Baker Hughes,Energy
65,BLL,Ball,Materials
66,BAC,Bank of America,Financials
67,BAX,Baxter,Health Care
68,BBT,BB&T,Financials
69,BDX,Becton,Health Care
70,BRK.B,Berkshire,Financials
71,BBY,Best Buy,Consumer Discretionary
72,BIIB,Biogen,Health Care
73,BLK,BlackRock,Financials
74,HRB,Block H&R,Financials
75,BA,Boeing,Industrials
76,BKNG,Booking Holdings,Consumer Discretionary
77,BWA,BorgWarner,Consumer Discretionary
78,BXP,Boston Properties,Real Estate
79,BSX,Boston Scientific,Health Care
80,BHF,Brighthouse ,Financials
81,BMY,Bristol-Myers Squibb,Health Care
82,AVGO,Broadcom,Information Technology
83,BF.B,Brown-Forman,Consumer Staples
84,CHRW,Robinson Worldwide,Industrials
85,CA,CA Inc,Information Technology
86,COG,Cabot Oil,Energy
87,CDNS,Cadence ,Information Technology
88,CPB,Campbell Soup,Consumer Staples
89,COF,Capital One,Financials
90,CAH,Cardinal ,Health Care
91,KMX,Carmax,Consumer Discretionary
92,CCL,Carnival,Consumer Discretionary
93,CAT,Caterpillar,Industrials
96,CBS,CBS,Consumer Discretionary
97,CELG,Celgene,Health Care
98,CNC,Centene,Health Care
99,CNP,CenterPoint,Utilities
100,CTL,CenturyLink,Telecommunication Services
101,CERN,Cerner,Health Care
102,CF,CF Industries,Materials
103,SCHW,Charles Schwab,Financials
104,CHTR,Charter ,Consumer Discretionary
105,CVX,Chevron,Energy
106,CMG,Chipotle Mexican Grill,Consumer Discretionary
107,CB,Chubb,Financials
109,CI,CIGNA,Health Care
110,XEC,Cimarex,Energy
111,CINF,Cincinnati Financial,Financials
112,CTAS,Cintas,Industrials
113,CSCO,Cisco,Information Technology
114,C,Citi,Financials
115,CFG,Citizens Financial,Financials
116,CTXS,Citrix ,Information Technology
117,CME,CME,Financials
118,CMS,CMS ,Utilities
119,KO,Coca-Cola,Consumer Staples
120,CTSH,Cognizant,Information Technology
121,CL,Colgate,Consumer Staples
122,CMCSA,Comcast,Consumer Discretionary
123,CMA,Comerica,Financials
124,CAG,Conagra ,Consumer Staples
125,CXO,Concho ,Energy
126,COP,ConocoPhillips,Energy
127,ED,Consolidated Edison,Utilities
128,STZ,Constellation Brands,Consumer Staples
129,GLW,Corning,Information Technology
130,COST,Costco ,Consumer Staples
131,COTY,Coty,Consumer Staples
132,CCI,Crown Castle,Real Estate
133,CSRA,CSRA,Information Technology
134,CSX,CSX,Industrials
135,CMI,Cummins,Industrials
136,CVS,CVS Health,Consumer Staples
138,DHR,Danaher,Health Care
139,DRI,Darden ,Consumer Discretionary
140,DVA,DaVita,Health Care
141,DE,Deere,Industrials
142,DAL,Delta Air Lines,Industrials
143,XRAY,Dentsply Sirona,Health Care
144,DVN,Devon Energy,Energy
145,DLR,Digital Realty,Real Estate
146,DFS,Discover Financial Services,Financials
147,DISCA,Discovery,Consumer Discretionary
149,DISH,Dish Network,Consumer Discretionary
150,DG,Dollar General,Consumer Discretionary
151,DLTR,Dollar Tree,Consumer Discretionary
152,D,Dominion Energy,Utilities
153,DOV,Dover,Industrials
154,DWDP,DowDuPont,Materials
155,DPS,Dr Pepper,Consumer Staples
156,DTE,DTE Energy,Utilities
157,DUK,Duke Energy,Utilities
158,DRE,Duke Realty,Real Estate
159,DXC,DXC Technology,Information Technology
160,ETFC,E*Trade,Financials
161,EMN,Eastman Chemical,Materials
162,ETN,Eaton,Industrials
163,EBAY,eBay,Information Technology
164,ECL,Ecolab,Materials
165,EIX,Edison,Utilities
166,EW,Edwards Lifesciences,Health Care
167,EA,Electronic Arts,Information Technology
168,EMR,Emerson Electric,Industrials
169,ETR,Entergy,Utilities
170,EVHC,Envision ,Health Care
171,EOG,EOG ,Energy
172,EQT,EQT,Energy
173,EFX,Equifax,Industrials
174,EQIX,Equinix,Real Estate
175,EQR,Equity Residential,Real Estate
176,ESS,Essex Property Trust,Real Estate
177,EL,Estee Lauder,Consumer Staples
178,RE,Everest Re,Financials
179,ES,Eversource Energy,Utilities
180,EXC,Exelon,Utilities
181,EXPE,Expedia,Consumer Discretionary
182,EXPD,Expeditors International,Industrials
183,ESRX,Express Scripts,Health Care
184,EXR,Extra Space,Real Estate
185,XOM,Exxon,Energy
186,FFIV,F5 Networks,Information Technology
188,FAST,Fastenal,Industrials
189,FRT,Federal Realty ,Real Estate
190,FDX,FedEx,Industrials
191,FIS,Fidelity National,Information Technology
192,FITB,Fifth Third,Financials
193,FE,FirstEnergy,Utilities
194,FISV,Fiserv,Information Technology
195,FLIR,FLIR Systems,Information Technology
196,FLS,Flowserve,Industrials
197,FLR,Fluor,Industrials
198,FMC,FMC,Materials
199,FL,Foot Locker,Consumer Discretionary
200,F,Ford,Consumer Discretionary
201,FTV,Fortive,Industrials
202,FBHS,Fortune Brands,Industrials
203,BEN,Franklin Resources,Financials
204,FCX,Freeport-McMoRan,Materials
205,GPS, Gap ,Consumer Discretionary
206,GRMN,Garmin,Consumer Discretionary
207,IT,Gartner,Information Technology
208,GD,General Dynamics,Industrials
209,GE,General Electric,Industrials
210,GGP,General Growth Properties,Real Estate
211,GIS,General Mills,Consumer Staples
212,GM,General Motors,Consumer Discretionary
213,GPC,Genuine Parts,Consumer Discretionary
214,GILD,Gilead ,Health Care
215,GPN,Global Payments,Information Technology
216,GS,Goldman Sachs,Financials
217,GT,Goodyear,Consumer Discretionary
218,GWW,Grainger,Industrials
219,HAL,Halliburton,Energy
220,HBI,Hanesbrands,Consumer Discretionary
221,HOG,Harley-Davidson,Consumer Discretionary
222,HRS,Harris ,Information Technology
223,HIG,Hartford ,Financials
224,HAS,Hasbro ,Consumer Discretionary
225,HCA,HCA,Health Care
